cluster,symbol,type,timestamp,maxTimeDev,channelCount,time,totalVolume,peakGainInsiders,peakGainPublic,secondsToPeak,maxProfit,initialPrice,initialDayVol,mediumTermPriceIncrease
38,HC,pump,1538056801,8,2,2018-09-27T14:00:01Z,478893.09527144,1.17971393962079,1.16618600249337,62.1480000019074,44152.8693855928,2.197258431,104908.61576431,1.08829673085505
6,DATA,pump,1538247627,22,2,2018-09-29T19:00:27Z,2303858.81600577,2.51919598131461,1.58297811588423,9.02300000190735,1983443.90115379,0.0359650746,461827.537561762,1.84165934415531
23,VIA,pump,1538334018,0,1,2018-09-30T19:00:18Z,1238616.59005837,1.42171826692029,1.40106692418875,328.618000030518,349482.932291232,0.630027039,236734.502286159,1.2950347966512
24,CLOAK,pump,1538420403,18,3,2018-10-01T19:00:03Z,1077974.27299576,1.48905713384441,1.46221859714476,40.7580001354218,303297.166653633,2.33840592,180434.510235072,1.25253369308732
78,BRD,pump,1538679577,7,2,2018-10-04T18:59:37Z,710281.47491652,1.31112234256562,1.17285884027364,55.0810000896454,126342.586697377,0.380034878,321356.443663187,1.19984776854206
7,EVX,pump,1538852427,8,2,2018-10-06T19:00:27Z,2162023.07311373,1.863084789989,1.10480831231975,8.0239999294281,781198.67301472,0.5005818871,267287.322884134,1.16744043649497
68,BRD,pump,1539007209,0,1,2018-10-08T14:00:09Z,193593.299043842,1.09442082545648,1.01578992620512,1.00300002098084,10523.4145725247,0.37606513,333385.22230459,1.04178085871056
69,QLC,pump,1539104416,2,2,2018-10-09T17:00:16Z,496161.161844663,1.05712328875934,1.02144648089074,98.085000038147,17722.189999193,0.065716794,3347004.52806094,1.04017663190077
70,OAX,pump,1539111629,18,3,2018-10-09T19:00:29Z,687753.278391114,1.20176745442505,1.0915761798273,69.1180000305176,90763.4888851407,0.2161319888,299748.555831353,1.10557969506959
79,EDO,pump,1539457209,9,2,2018-10-13T19:00:09Z,369084.604280396,1.10253479849292,1.02156501984072,44.0199999809265,20802.7601403469,1.049544375,330963.348108375,1.02289093116889
83,REQ,pump,1539543641,0,1,2018-10-14T19:00:41Z,1021247.61785117,1.1338610710561,1.09937390731848,244.320000171661,90906.4807039906,0.052404314,1366886.31355324,1.10055496400862
71,POLY,pump,1539802863,10,2,2018-10-17T19:01:03Z,2301702.05347014,1.73662824664925,1.73083110188466,25.0110001564026,784829.04914824,0.2116587276,491783.10784347,1.31696556985413
72,XZC,pump,1540065910,17,2,2018-10-20T20:05:10Z,1842337.8145415,1.52458734073555,1.51737704918033,6.02899980545044,434980.695469949,9.98704344,645583.180681388,1.13799248527483
84,CND,pump,1540224038,0,1,2018-10-22T16:00:38Z,606067.997784651,1.03184905482324,1.025614218214,28.0429999828339,3680.82977359316,0.0278567576,2365897.1586812,0.984433859817804
